0 | function | palavra-reservada

1 | global | string

2 | factory | string

3 | use | palavra-reservada

4 | strict | palavra-reservada

5 | if | palavra-reservada

6 | typeof | palavra-reservada

7 | module | string

8 | === | comparador

9 | object | string

10 | && | comparador

11 | typeof | palavra-reservada

12 | module | string

13 | exports | string

14 | === | comparador

15 | object | string

16 | module | string

17 | exports | string

18 | = | operador

19 | global | string

20 | document | palavra-reservada

21 | factory | string

22 | global | string

23 | true | palavra-reservada

24 | function | palavra-reservada

25 | w | char

26 | if | palavra-reservada

27 | w | char

28 | document | palavra-reservada

29 | throw | palavra-reservada

30 | new | palavra-reservada

31 | Error | string

32 | jQuery | variavel

33 | requires | string

34 | a | char

35 | window | palavra-reservada

36 | with | palavra-reservada

37 | a | char

38 | document | palavra-reservada

39 | return | palavra-reservada

40 | factory | string

41 | w | char

42 | else | palavra-reservada

43 | factory | string

44 | global | string

45 | typeof | palavra-reservada

46 | window | palavra-reservada

47 | == | comparador

48 | undefined | tipo-de-dado

49 | window | palavra-reservada

50 | this | palavra-reservada

51 | function | palavra-reservada

52 | window | palavra-reservada

53 | noGlobal | funcao

54 | use | palavra-reservada

55 | strict | palavra-reservada

56 | var | palavra-reservada

57 | arr | string

58 | = | operador

59 | var | palavra-reservada

60 | getProto | funcao

61 | = | operador

62 | Object | string

63 | getPrototypeOf | string

64 | var | palavra-reservada

65 | slice | string

66 | = | operador

67 | arr | string

68 | slice | string

69 | var | palavra-reservada

70 | flat | string

71 | = | operador

72 | arr | string

73 | flat | string

74 | function | palavra-reservada

75 | array | tipo-de-dado

76 | return | palavra-reservada

77 | arr | string

78 | flat | string

79 | call | string

80 | array | tipo-de-dado

81 | function | palavra-reservada

82 | array | tipo-de-dado

83 | return | palavra-reservada

84 | arr | string

85 | concat | string

86 | apply | string

87 | array | tipo-de-dado

88 | var | palavra-reservada

89 | push | string

90 | = | operador

